Date,Open,High,Low,Close,Volume,Adj Close
1973-03-05,442.000008,442.125015,432.50,438.75,1040000,7.107284
1973-03-02,427.000008,444.000015,422.000008,442.000008,964800,7.159931
1973-03-01,431.500015,435.00,426.500015,427.000008,924800,6.916946
1973-02-28,422.999992,431.500015,418.499985,431.500015,1144000,6.989842
1973-02-27,430.999985,432.000008,422.000008,422.999992,952000,6.85215
1973-02-26,433.499985,433.499985,427.249985,430.999985,1048000,6.981742
1973-02-23,442.50,442.50,432.000008,433.499985,744000,7.022239
1973-02-22,443.75,445.00,438.499985,444.000015,628800,7.192329
1973-02-21,447.000008,447.50,440.999985,443.75,425600,7.188279
1973-02-20,442.999992,447.000008,442.999992,447.000008,532800,7.240925
1973-02-16,441.500015,442.750015,439.249992,441.25,488000,7.147781
1973-02-15,445.625,447.249985,440.250015,441.500015,795200,7.151831
1973-02-14,450.750008,450.750008,445.499992,445.625,585600,7.218652
1973-02-13,450.999985,456.500015,450.999985,450.999985,1264000,7.305721
1973-02-12,446.500015,450.00,446.500015,448.499985,684800,7.265223
1973-02-09,437.750015,445.999985,437.750015,445.999985,784000,7.224726
1973-02-08,438.499985,439.000015,431.500015,437.50,1033600,7.087035
1973-02-07,438.499985,442.000008,438.499985,438.499985,740800,7.103234
1973-02-06,430.999985,440.00,430.999985,437.750015,689600,7.068407
1973-02-05,429.749985,432.000008,428.499985,430.00,348800,6.943266
1973-02-02,429.000015,432.000008,427.000008,429.749985,827200,6.939229
1973-02-01,435.499992,437.999992,428.499985,429.000015,696000,6.927119
1973-01-31,437.750015,437.750015,434.500008,435.499992,545600,7.032075
1973-01-30,441.500015,445.00,438.499985,439.000015,889600,7.088591
1973-01-29,437.750015,442.000008,434.000015,441.500015,800000,7.128958
1973-01-26,435.999985,437.999992,432.249985,437.750015,1105600,7.068407
1973-01-24,444.249992,448.499985,434.500008,435.999985,1300800,7.040149
1973-01-23,435.999985,444.749985,433.75,444.249992,1096000,7.173363
1973-01-22,439.000015,439.000015,435.999985,435.999985,689600,7.040149
1973-01-19,428.875008,439.000015,427.249985,439.000015,1195200,7.088591
1973-01-18,427.000008,430.00,427.000008,428.875008,752000,6.925101
1973-01-17,422.50,424.249992,420.750008,424.000015,417600,6.846384
1973-01-16,423.250008,424.749985,420.750008,422.50,907200,6.822163
1973-01-15,422.750015,429.000015,422.750015,423.250008,1372800,6.834273
1973-01-12,417.249985,425.00,417.249985,420.00,993600,6.781795
1973-01-11,412.000008,422.999992,412.000008,415.250015,1059200,6.705096
1973-01-10,415.499992,415.499992,411.25,411.500015,496000,6.644545
1973-01-09,418.75,419.249992,415.250015,417.50,675200,6.741427
1973-01-08,418.75,420.00,415.999985,418.75,652800,6.761611
1973-01-05,412.750015,419.500008,412.750015,418.75,1203200,6.761611
1973-01-04,409.249992,412.50,405.999985,411.749992,923200,6.648581
1973-01-03,409.249992,413.75,409.249992,409.249992,1089600,6.608213
1973-01-02,404.500008,409.500008,404.500008,409.000015,724800,6.604177
1972-12-29,399.000015,402.999992,399.000015,402.000008,929600,6.491147
1972-12-27,392.249985,399.000015,392.249985,399.000015,555200,6.442705
1972-12-26,391.500015,395.499992,391.500015,391.749992,291200,6.325638
1972-12-22,385.499992,390.499992,385.00,390.499992,360000,6.305454
1972-12-21,389.500008,389.749985,385.499992,385.499992,515200,6.224719
1972-12-20,390.00,392.750015,385.999985,389.500008,619200,6.289308
1972-12-19,393.75,393.75,390.00,390.00,752000,6.297381
1972-12-18,397.50,397.50,392.50,394.500008,796800,6.370043
1972-12-15,395.999985,400.999985,395.999985,398.125,569600,6.428576
1972-12-14,396.25,397.000008,394.500008,395.499992,420800,6.38619
1972-12-13,399.000015,399.000015,396.25,396.25,416000,6.398301
1972-12-12,403.75,403.75,398.499985,399.000015,609600,6.442705
1972-12-11,402.999992,405.00,402.000008,404.249992,616000,6.527477
1972-12-08,397.249985,404.500008,397.249985,402.999992,932800,6.507294
1972-12-07,397.000008,397.50,395.999985,396.749992,504000,6.406374
1972-12-06,397.999992,399.000015,395.999985,397.000008,640000,6.410411
1972-12-05,400.00,400.00,397.750015,397.999992,577600,6.426558
1972-12-04,399.249992,400.750008,399.249992,400.499992,1088000,6.466926
1972-12-01,390.999985,400.999985,390.999985,397.999992,1123200,6.426558
1972-11-30,387.000008,391.25,387.000008,390.999985,440000,6.313528
1972-11-29,382.249985,387.000008,380.00,387.000008,539200,6.24894
1972-11-28,385.499992,386.25,381.500015,382.249985,396800,6.17224
1972-11-27,387.249985,387.249985,384.000015,385.499992,400000,6.224719
1972-11-24,394.000015,394.249992,388.499985,389.000015,480000,6.281234
1972-11-22,387.249985,394.500008,387.000008,394.000015,904000,6.36197
1972-11-21,385.250015,387.999992,385.250015,387.249985,651200,6.252976
1972-11-20,384.000015,385.499992,382.750015,385.00,364800,6.216645
1972-11-17,385.00,385.250015,380.499992,384.000015,401600,6.200498
1972-11-16,384.249992,385.499992,382.750015,385.00,496000,6.216645
1972-11-15,387.999992,390.00,384.249992,384.249992,568000,6.204535
1972-11-14,378.75,387.999992,378.75,387.999992,996800,6.265087
1972-11-13,373.250008,377.000008,373.250008,376.749992,704000,6.083431
1972-11-10,371.500015,374.749985,371.25,372.249985,833600,6.010769
1972-11-09,376.25,376.25,370.999985,371.500015,819200,5.998659
1972-11-08,380.999985,382.999992,373.250008,376.500015,1155200,6.079395
1972-11-06,387.874985,388.499985,376.500015,380.999985,1024000,6.130258
1972-11-03,390.875015,390.875015,387.000008,387.874985,512000,6.240876
1972-11-02,389.500008,390.999985,388.250008,390.999985,548800,6.291157
1972-11-01,385.999985,389.749985,385.999985,389.500008,744000,6.267022
1972-10-31,380.999985,385.499992,380.999985,385.499992,499200,6.202663
1972-10-30,378.75,380.999985,377.999992,379.749985,276800,6.110145
1972-10-27,378.250008,380.750008,378.250008,378.75,484800,6.094056
1972-10-26,383.499985,383.499985,377.000008,377.50,809600,6.073943
1972-10-25,388.75,388.75,382.999992,383.499985,321600,6.170483
1972-10-24,390.499992,390.499992,385.499992,389.249992,548800,6.263
