Threshold = 178 | F-measure = 0.1981824 | clusters = 160 | common = 34 | cost = 71978.2265625
Threshold = 179 | F-measure = 0.1273287 | clusters = 173 | common = 25 | cost = 70135.984375
Threshold = 180 | F-measure = 0.1501335 | clusters = 198 | common = 28 | cost = 69302.140625
Threshold = 181 | F-measure = 0.1523501 | clusters = 197 | common = 29 | cost = 66051.359375
Threshold = 182 | F-measure = 0.1798286 | clusters = 196 | common = 31 | cost = 61992.35546875
Threshold = 183 | F-measure = 0.1926006 | clusters = 201 | common = 32 | cost = 58999.29296875
Threshold = 184 | F-measure = 0.1680994 | clusters = 204 | common = 29 | cost = 55972.22265625
Threshold = 185 | F-measure = 0.1948863 | clusters = 208 | common = 33 | cost = 52973.68359375
Threshold = 186 | F-measure = 0.175363 | clusters = 218 | common = 30 | cost = 50796.07421875
Threshold = 187 | F-measure = 0.1763105 | clusters = 216 | common = 30 | cost = 47725.8046875
Threshold = 188 | F-measure = 0.1652575 | clusters = 213 | common = 30 | cost = 45026.8359375
Threshold = 189 | F-measure = 0.2037468 | clusters = 214 | common = 33 | cost = 42286.734375
Threshold = 190 | F-measure = 0.1897513 | clusters = 222 | common = 31 | cost = 40407.8828125
Threshold = 191 | F-measure = 0.1828137 | clusters = 228 | common = 30 | cost = 38442.15234375
Threshold = 192 | F-measure = 0.1792217 | clusters = 222 | common = 30 | cost = 36110.796875
Threshold = 193 | F-measure = 0.1813769 | clusters = 228 | common = 30 | cost = 34092.19921875
Threshold = 194 | F-measure = 0.1715722 | clusters = 229 | common = 29 | cost = 32133.666015625
Threshold = 195 | F-measure = 0.1826496 | clusters = 229 | common = 30 | cost = 30237.73046875
Threshold = 196 | F-measure = 0.1718595 | clusters = 226 | common = 29 | cost = 28193.626953125
Threshold = 197 | F-measure = 0.1812128 | clusters = 229 | common = 30 | cost = 26636.35546875
Threshold = 198 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 25194.455078125
Threshold = 199 | F-measure = 0.1730436 | clusters = 227 | common = 29 | cost = 23538.380859375
Threshold = 200 | F-measure = 0.1792217 | clusters = 228 | common = 30 | cost = 22107.28515625
Threshold = 201 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 20873.234375
Threshold = 202 | F-measure = 0.1625032 | clusters = 229 | common = 28 | cost = 19469.7265625
Threshold = 203 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 18310.630859375
Threshold = 204 | F-measure = 0.1730089 | clusters = 231 | common = 29 | cost = 17113.62109375
Threshold = 205 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 15940.73046875
Threshold = 206 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 14880.8740234375
Threshold = 207 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 13957.6181640625
Threshold = 208 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 13012.4306640625
Threshold = 209 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 12122.37890625
Threshold = 210 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 11284.6591796875
Threshold = 211 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 10479.8798828125
Threshold = 212 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 9757.064453125
Threshold = 213 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 9073.4033203125
Threshold = 214 | F-measure = 0.1744457 | clusters = 228 | common = 29 | cost = 8340.9609375
Threshold = 215 | F-measure = 0.1720131 | clusters = 226 | common = 29 | cost = 7710.8388671875
Threshold = 216 | F-measure = 0.1741683 | clusters = 228 | common = 29 | cost = 7228.5361328125
Threshold = 217 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 6689.05029296875
Threshold = 218 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 6253.26953125
Threshold = 219 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 5795.79296875
Threshold = 220 | F-measure = 0.1736076 | clusters = 230 | common = 29 | cost = 5319.251953125
