Threshold =  272  | F-measure =  0.616141090692183  | clusters =  65  | cost =  53846.7109375
Threshold =  273  | F-measure =  0.610256606729631  | clusters =  65  | cost =  53192.46875
Threshold =  274  | F-measure =  0.587034995236955  | clusters =  67  | cost =  53511.046875
Threshold =  275  | F-measure =  0.598581451571133  | clusters =  67  | cost =  50739.2578125
Threshold =  276  | F-measure =  0.598103481265577  | clusters =  68  | cost =  50562.875
Threshold =  277  | F-measure =  0.586492123934838  | clusters =  69  | cost =  48921.99609375
Threshold =  278  | F-measure =  0.569322018727308  | clusters =  71  | cost =  50502.58203125
Threshold =  279  | F-measure =  0.586492123934838  | clusters =  71  | cost =  47802.625
Threshold =  280  | F-measure =  0.563666822589567  | clusters =  71  | cost =  48012.76953125
Threshold =  281  | F-measure =  0.563666822589567  | clusters =  71  | cost =  47131.7890625
Threshold =  282  | F-measure =  0.563666822589567  | clusters =  72  | cost =  46498.640625
Threshold =  283  | F-measure =  0.580735260488945  | clusters =  72  | cost =  45224.71875
Threshold =  284  | F-measure =  0.569322018727308  | clusters =  72  | cost =  45136.41796875
Threshold =  285  | F-measure =  0.558046721049665  | clusters =  73  | cost =  43211.6875
Threshold =  286  | F-measure =  0.569322018727308  | clusters =  71  | cost =  42850.65625
Threshold =  287  | F-measure =  0.55246234079685  | clusters =  73  | cost =  41985.84765625
Threshold =  288  | F-measure =  0.546914323530889  | clusters =  74  | cost =  40972.0234375
Threshold =  289  | F-measure =  0.546914323530889  | clusters =  75  | cost =  40091.8984375
Threshold =  290  | F-measure =  0.563666822589567  | clusters =  74  | cost =  39255.51171875
Threshold =  291  | F-measure =  0.563666822589567  | clusters =  73  | cost =  38299.9453125
Threshold =  292  | F-measure =  0.546914323530889  | clusters =  73  | cost =  36565.61328125
Threshold =  293  | F-measure =  0.546914323530889  | clusters =  73  | cost =  35481.65234375
Threshold =  294  | F-measure =  0.546914323530889  | clusters =  73  | cost =  34397.6484375
Threshold =  295  | F-measure =  0.546914323530889  | clusters =  74  | cost =  33483.48046875
Threshold =  296  | F-measure =  0.546914323530889  | clusters =  74  | cost =  32393.478515625
Threshold =  297  | F-measure =  0.546914323530889  | clusters =  75  | cost =  31356.0859375
Threshold =  298  | F-measure =  0.546914323530889  | clusters =  76  | cost =  30289.38671875
Threshold =  299  | F-measure =  0.546914323530889  | clusters =  75  | cost =  29172.07421875
Threshold =  300  | F-measure =  0.546914323530889  | clusters =  75  | cost =  28080.068359375
Threshold =  301  | F-measure =  0.512940925614463  | clusters =  77  | cost =  28548.302734375
Threshold =  302  | F-measure =  0.512940925614463  | clusters =  77  | cost =  27373.296875
Threshold =  303  | F-measure =  0.512940925614463  | clusters =  79  | cost =  26238.900390625
Threshold =  304  | F-measure =  0.505067003947438  | clusters =  80  | cost =  25114.533203125
Threshold =  305  | F-measure =  0.505067003947438  | clusters =  80  | cost =  23919.5234375
Threshold =  306  | F-measure =  0.499556006830745  | clusters =  81  | cost =  22690.564453125
Threshold =  307  | F-measure =  0.499556006830745  | clusters =  81  | cost =  21429.55078125
Threshold =  308  | F-measure =  0.499556006830745  | clusters =  81  | cost =  20168.53515625
Threshold =  309  | F-measure =  0.499556006830745  | clusters =  82  | cost =  19036.275390625
Threshold =  310  | F-measure =  0.499556006830745  | clusters =  82  | cost =  17766.25390625
Threshold =  311  | F-measure =  0.499556006830745  | clusters =  84  | cost =  16533.15625
Threshold =  312  | F-measure =  0.499556006830745  | clusters =  84  | cost =  15260.1298828125
Threshold =  313  | F-measure =  0.494082702956942  | clusters =  86  | cost =  13954.6962890625
Threshold =  314  | F-measure =  0.494082702956942  | clusters =  87  | cost =  12633.2685546875
Threshold =  315  | F-measure =  0.490536052858568  | clusters =  90  | cost =  11390.89453125
Threshold =  316  | F-measure =  0.490536052858568  | clusters =  93  | cost =  10066.05859375
Threshold =  317  | F-measure =  0.490536052858568  | clusters =  93  | cost =  8708.0361328125
Threshold =  318  | F-measure =  0.490536052858568  | clusters =  93  | cost =  7350.03955078125
Threshold =  319  | F-measure =  0.490536052858568  | clusters =  94  | cost =  5996.34814453125
Threshold =  320  | F-measure =  0.490536052858568  | clusters =  95  | cost =  4640.65869140625
Threshold =  321  | F-measure =  0.530574367034813  | clusters =  85  | cost =  3038.51440429688
Threshold =  322  | F-measure =  0.525139445914442  | clusters =  86  | cost =  1722.86828613281
Threshold =  323  | F-measure =  0.32669903197507  | clusters =  130  | cost =  986.618347167969
Threshold =  324  | F-measure =  0.0755542859364924  | clusters =  232  | cost =  0
