Threshold = 247 | F-measure = 0.1792012 | clusters = 207 | common = 30 | cost = 40.0062789916992
Threshold = 248 | F-measure = 0.1792012 | clusters = 208 | common = 30 | cost = 34.1516571044922
Threshold = 249 | F-measure = 0.1792012 | clusters = 208 | common = 30 | cost = 28.9269104003906
Threshold = 250 | F-measure = 0.1792012 | clusters = 209 | common = 30 | cost = 25.0185794830322
Threshold = 251 | F-measure = 0.1792012 | clusters = 211 | common = 30 | cost = 22.0185813903809
Threshold = 252 | F-measure = 0.1803506 | clusters = 215 | common = 30 | cost = 19.0185794830322
Threshold = 253 | F-measure = 0.1803506 | clusters = 217 | common = 30 | cost = 16.0185794830322
Threshold = 254 | F-measure = 0.1803506 | clusters = 218 | common = 30 | cost = 13.0185794830322
Threshold = 255 | F-measure = 0.1803506 | clusters = 218 | common = 30 | cost = 10.0185794830322
Threshold = 256 | F-measure = 0.1803506 | clusters = 219 | common = 30 | cost = 7.01858043670654
Threshold = 257 | F-measure = 0.1803506 | clusters = 219 | common = 30 | cost = 4.01857995986938
Threshold = 258 | F-measure = 0.1803506 | clusters = 219 | common = 30 | cost = 1.49678993225098
Threshold = 259 | F-measure = 0.1817874 | clusters = 223 | common = 30 | cost = 1.21056997776031
Threshold = 260 | F-measure = 0.1817874 | clusters = 223 | common = 30 | cost = 1.89853000640869
Threshold = 261 | F-measure = 0.1817874 | clusters = 224 | common = 30 | cost = 2.89853000640869
Threshold = 262 | F-measure = 0.1817874 | clusters = 225 | common = 30 | cost = 3.89853000640869
Threshold = 263 | F-measure = 0.1734194 | clusters = 226 | common = 29 | cost = 4.89853000640869
Threshold = 264 | F-measure = 0.1734194 | clusters = 226 | common = 29 | cost = 6.70026016235352
Threshold = 265 | F-measure = 0.1734194 | clusters = 226 | common = 29 | cost = 8.70026016235352
Threshold = 266 | F-measure = 0.1734194 | clusters = 226 | common = 29 | cost = 10.7002601623535
Threshold = 267 | F-measure = 0.1744457 | clusters = 227 | common = 29 | cost = 12.7002601623535
Threshold = 268 | F-measure = 0.1744457 | clusters = 227 | common = 29 | cost = 14.7002601623535
Threshold = 269 | F-measure = 0.1744457 | clusters = 228 | common = 29 | cost = 15.6747207641602
Threshold = 270 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 13.6747198104858
Threshold = 271 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 11.6747198104858
Threshold = 272 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 9.67471981048584
Threshold = 273 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 7.67471981048584
Threshold = 274 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 5.67471981048584
Threshold = 275 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 3.67472004890442
Threshold = 276 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 1.67472004890442
Threshold = 277 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 278 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 279 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 280 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 281 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 282 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 283 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 284 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 285 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 286 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 287 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 288 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 289 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 290 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 0
Threshold = 291 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 0
