
currentTclustCluster = c12 | nextThreshold = 32

currentTclustCluster = c5 | nextThreshold = 33

currentTclustCluster = c13 | nextThreshold = 33

currentTclustCluster = c14 | nextThreshold = 33

currentTclustCluster = c35 | nextThreshold = 33

currentTclustCluster = c36 | nextThreshold = 33

currentTclustCluster = c29 | nextThreshold = 33

currentTclustCluster = c30 | nextThreshold = 33

currentTclustCluster = c18 | nextThreshold = 33

currentTclustCluster = c25 | nextThreshold = 33

currentTclustCluster = c26 | nextThreshold = 33

currentTclustCluster = c22 | nextThreshold = 33

currentTclustCluster = c33 | nextThreshold = 33

currentTclustCluster = c20 | nextThreshold = 33

currentTclustCluster = c9 | nextThreshold = 33

currentTclustCluster = c10 | nextThreshold = 33

currentTclustCluster = c11 | nextThreshold = 33

currentTclustCluster = c12 | nextThreshold = 33

currentTclustCluster = c5 | nextThreshold = 34

currentTclustCluster = c13 | nextThreshold = 34

currentTclustCluster = c14 | nextThreshold = 34

currentTclustCluster = c35 | nextThreshold = 34

currentTclustCluster = c36 | nextThreshold = 34

currentTclustCluster = c29 | nextThreshold = 34

currentTclustCluster = c30 | nextThreshold = 34

currentTclustCluster = c18 | nextThreshold = 34

currentTclustCluster = c25 | nextThreshold = 34

currentTclustCluster = c26 | nextThreshold = 34

currentTclustCluster = c22 | nextThreshold = 34

currentTclustCluster = c33 | nextThreshold = 34

currentTclustCluster = c20 | nextThreshold = 34

currentTclustCluster = c9 | nextThreshold = 34

currentTclustCluster = c10 | nextThreshold = 34

currentTclustCluster = c11 | nextThreshold = 34

currentTclustCluster = c12 | nextThreshold = 34

currentTclustCluster = c5 | nextThreshold = 35

currentTclustCluster = c13 | nextThreshold = 35

currentTclustCluster = c14 | nextThreshold = 35

currentTclustCluster = c35 | nextThreshold = 35

currentTclustCluster = c36 | nextThreshold = 35

currentTclustCluster = c29 | nextThreshold = 35

currentTclustCluster = c30 | nextThreshold = 35

currentTclustCluster = c18 | nextThreshold = 35

currentTclustCluster = c25 | nextThreshold = 35

currentTclustCluster = c26 | nextThreshold = 35

currentTclustCluster = c22 | nextThreshold = 35

currentTclustCluster = c33 | nextThreshold = 35

currentTclustCluster = c20 | nextThreshold = 35

currentTclustCluster = c9 | nextThreshold = 35

currentTclustCluster = c10 | nextThreshold = 35

currentTclustCluster = c11 | nextThreshold = 35

currentTclustCluster = c12 | nextThreshold = 35

