
currentTclustCluster = c164 | nextThreshold = 15

currentTclustCluster = c124 | nextThreshold = 15

currentTclustCluster = c125 | nextThreshold = 15

currentTclustCluster = c129 | nextThreshold = 15

currentTclustCluster = c46 | nextThreshold = 15

currentTclustCluster = c248 | nextThreshold = 15

currentTclustCluster = c249 | nextThreshold = 15

currentTclustCluster = c232 | nextThreshold = 15

currentTclustCluster = c233 | nextThreshold = 15

currentTclustCluster = c186 | nextThreshold = 15

currentTclustCluster = c244 | nextThreshold = 15

currentTclustCluster = c250 | nextThreshold = 15

currentTclustCluster = c251 | nextThreshold = 15

currentTclustCluster = c56 | nextThreshold = 15

currentTclustCluster = c142 | nextThreshold = 15

currentTclustCluster = c145 | nextThreshold = 15

currentTclustCluster = c66 | nextThreshold = 15

currentTclustCluster = c68 | nextThreshold = 15

currentTclustCluster = c79 | nextThreshold = 15

currentTclustCluster = c167 | nextThreshold = 15

currentTclustCluster = c220 | nextThreshold = 15

currentTclustCluster = c177 | nextThreshold = 15

currentTclustCluster = c103 | nextThreshold = 15

currentTclustCluster = c104 | nextThreshold = 15

currentTclustCluster = c105 | nextThreshold = 15

currentTclustCluster = c106 | nextThreshold = 15

currentTclustCluster = c34 | nextThreshold = 16

currentTclustCluster = c35 | nextThreshold = 16

currentTclustCluster = c37 | nextThreshold = 16

currentTclustCluster = c237 | nextThreshold = 16

currentTclustCluster = c239 | nextThreshold = 16

currentTclustCluster = c252 | nextThreshold = 16

currentTclustCluster = c163 | nextThreshold = 16

currentTclustCluster = c164 | nextThreshold = 16

currentTclustCluster = c124 | nextThreshold = 16

currentTclustCluster = c125 | nextThreshold = 16

currentTclustCluster = c129 | nextThreshold = 16

currentTclustCluster = c46 | nextThreshold = 16

currentTclustCluster = c248 | nextThreshold = 16

currentTclustCluster = c249 | nextThreshold = 16

currentTclustCluster = c232 | nextThreshold = 16

currentTclustCluster = c233 | nextThreshold = 16

currentTclustCluster = c186 | nextThreshold = 16

currentTclustCluster = c244 | nextThreshold = 16

currentTclustCluster = c250 | nextThreshold = 16

currentTclustCluster = c251 | nextThreshold = 16

currentTclustCluster = c56 | nextThreshold = 16

currentTclustCluster = c142 | nextThreshold = 16

currentTclustCluster = c145 | nextThreshold = 16

currentTclustCluster = c66 | nextThreshold = 16

currentTclustCluster = c68 | nextThreshold = 16

currentTclustCluster = c79 | nextThreshold = 16

currentTclustCluster = c254 | nextThreshold = 16

currentTclustCluster = c220 | nextThreshold = 16

currentTclustCluster = c177 | nextThreshold = 16

currentTclustCluster = c103 | nextThreshold = 16

currentTclustCluster = c104 | nextThreshold = 16

currentTclustCluster = c105 | nextThreshold = 16

currentTclustCluster = c106 | nextThreshold = 16

currentTclustCluster = c34 | nextThreshold = 17

currentTclustCluster = c35 | nextThreshold = 17

currentTclustCluster = c37 | nextThreshold = 17

currentTclustCluster = c237 | nextThreshold = 17

currentTclustCluster = c239 | nextThreshold = 17

currentTclustCluster = c252 | nextThreshold = 17

currentTclustCluster = c163 | nextThreshold = 17

currentTclustCluster = c164 | nextThreshold = 17

currentTclustCluster = c124 | nextThreshold = 17

currentTclustCluster = c125 | nextThreshold = 17

currentTclustCluster = c129 | nextThreshold = 17

currentTclustCluster = c46 | nextThreshold = 17

currentTclustCluster = c256 | nextThreshold = 17

currentTclustCluster = c249 | nextThreshold = 17

currentTclustCluster = c232 | nextThreshold = 17

currentTclustCluster = c233 | nextThreshold = 17

currentTclustCluster = c186 | nextThreshold = 17

currentTclustCluster = c259 | nextThreshold = 17

currentTclustCluster = c260 | nextThreshold = 17

currentTclustCluster = c250 | nextThreshold = 17

currentTclustCluster = c251 | nextThreshold = 17

currentTclustCluster = c56 | nextThreshold = 17

currentTclustCluster = c142 | nextThreshold = 17

currentTclustCluster = c261 | nextThreshold = 17

currentTclustCluster = c66 | nextThreshold = 17

currentTclustCluster = c68 | nextThreshold = 17

currentTclustCluster = c79 | nextThreshold = 17

currentTclustCluster = c254 | nextThreshold = 17

currentTclustCluster = c220 | nextThreshold = 17

currentTclustCluster = c177 | nextThreshold = 17

currentTclustCluster = c103 | nextThreshold = 17

currentTclustCluster = c104 | nextThreshold = 17

currentTclustCluster = c105 | nextThreshold = 17

currentTclustCluster = c106 | nextThreshold = 17

currentTclustCluster = c34 | nextThreshold = 18

currentTclustCluster = c35 | nextThreshold = 18

currentTclustCluster = c37 | nextThreshold = 18

currentTclustCluster = c237 | nextThreshold = 18

currentTclustCluster = c263 | nextThreshold = 18

currentTclustCluster = c267 | nextThreshold = 18

currentTclustCluster = c163 | nextThreshold = 18

currentTclustCluster = c164 | nextThreshold = 18

